CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.0900,1,296,15.3,396.90,4.98,24.0
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.90,9.14,21.6
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4
0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.90,5.33,36.2
0.02985,0.0,2.18,0,0.458,6.430,58.7,6.0622,3,222,18.7,394.12,5.21,28.7
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.60,12.43,22.9
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.90,19.15,27.1
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,29.93,16.5
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,396.90,17.10,18.9
0.22489,12.5,7.87,0,0.524,6.377,94.7,6.2267,5,311,15.2,393.45,20.45,15.0
0.11747,12.5,7.87,0,0.524,6.009,82.9,5.4509,5,311,15.2,390.94,13.27,18.9
0.09378,12.5,7.87,0,0.524,5.889,39.0,5.7279,5,311,15.2,396.90,12.54,21.7
0.62976,0.0,8.14,0,0.538,5.950,61.8,4.7007,4,307,17.8,393.99,14.00,18.9
0.63796,0.0,8.14,0,0.538,5.921,44.7,4.4626,4,307,17.8,384.97,11.08,19.5
0.62739,0.0,8.14,0,0.538,6.082,58.5,4.5341,4,307,17.8,390.56,8.54,22.3
0.95421,0.0,8.14,0,0.538,5.723,71.5,4.7318,4,307,17.8,396.90,10.59,15.7
0.74842,0.0,8.14,0,0.538,5.858,63.7,5.3070,4,307,17.8,386.07,17.86,14.2
0.61831,0.0,8.14,0,0.538,6.116,49.4,5.1058,4,307,17.8,389.88,14.79,18.1
0.75149,0.0,8.14,0,0.538,5.943,58.5,4.6879,4,307,17.8,393.77,10.35,16.8
0.78179,0.0,8.14,0,0.538,5.834,73.5,4.7999,4,307,17.8,389.89,17.37,15.8
0.74463,0.0,8.14,0,0.538,5.958,63.9,5.2110,4,307,17.8,388.57,21.28,15.0
0.73063,0.0,8.14,0,0.538,6.280,39.7,4.7574,4,307,17.8,393.44,12.87,19.8
0.73302,0.0,8.14,0,0.538,5.617,69.9,4.8940,4,307,17.8,392.09,21.24,13.7
0.68951,0.0,8.14,0,0.538,6.030,31.8,5.0627,4,307,17.8,390.17,19.38,20.4
0.96708,0.0,8.14,0,0.538,5.843,68.5,4.5762,4,307,17.8,391.77,14.98,14.8
0.83679,0.0,8.14,0,0.538,5.920,70.5,4.7788,4,307,17.8,391.88,15.89,15.7
0.71870,0.0,8.14,0,0.538,5.855,69.7,4.6225,4,307,17.8,394.60,20.24,15.0
0.74270,0.0,8.14,0,0.538,5.970,57.3,4.7279,4,307,17.8,389.87,11.47,15.6
0.73921,0.0,8.14,0,0.538,5.617,69.2,4.7736,4,307,17.8,394.90,20.24,15.0
